met,phase,alt,alt_radar,q,airspeed,vspeed,pitch_cmd,aoa,fpa,thr,dist_rwy
0,TO APPROACH FIX,18619,18619,0.1889,854,-384.2,18,1.9,-26.7,0,199071
1,TO APPROACH FIX,18215,18215,0.2015,845,-390.4,18,16,-27.5,0,199747
2,TO APPROACH FIX,17796,17796,0.2022,810,-395.4,18,29.2,-29.2,0,200394
3,TO APPROACH FIX,17375,17375,0.204,782,-402.3,18,17,-30.9,0,200995
4,TO APPROACH FIX,16946,16946,0.2171,774,-408.2,18,7.7,-31.8,0,201571
5,TO APPROACH FIX,16509,16509,0.2223,746,-412.6,18,22.3,-33.6,0,202125
6,TO APPROACH FIX,16071,16071,0.2215,715,-415.3,18,19.7,-35.5,0,202634
7,TO APPROACH FIX,15629,15629,0.2306,699,-420,18,11.7,-36.9,0,203112
9,TO APPROACH FIX,15181,15181,0.2347,673,-422.2,18,17.7,-38.8,0,203562
10,TO APPROACH FIX,14734,14734,0.2344,645,-422,18,17,-40.9,0,203972
11,TO APPROACH FIX,14286,14286,0.2397,624,-423,18,15.4,-42.6,0,204350
12,TO APPROACH FIX,13838,13838,0.2397,597,-420.7,18,15.3,-44.8,0,204694
13,TO APPROACH FIX,13394,13394,0.2402,573,-417.8,18,16.2,-46.8,0,205003
14,TO APPROACH FIX,12953,12953,0.2397,548,-413.2,18,16.2,-48.9,0,205279
15,TO APPROACH FIX,12518,12518,0.2352,521,-405.5,18,14.8,-51.1,0,205521
16,TO APPROACH FIX,12093,12093,0.2295,494,-395.7,18,16.8,-53.3,0,205729
17,TO APPROACH FIX,11680,11680,0.2184,463,-381.7,18,16.6,-55.7,0,205904
18,TO APPROACH FIX,11284,11284,0.2053,432,-365.6,18,16.2,-58,0,206045
19,TO APPROACH FIX,10906,10906,0.19,400,-347.2,18,17.5,-60.3,0,206155
20,TO APPROACH FIX,10548,10548,0.1728,369,-327,18,17.3,-62.6,0,206235
21,TO APPROACH FIX,10212,10212,0.1572,341,-307.7,18,16.6,-64.7,0,206289
22,TO APPROACH FIX,9895,9895,0.1434,316,-289.6,18,17,-66.6,0,206321
23,TO APPROACH FIX,9596,9596,0.1338,297,-275.9,18,16.1,-68.2,0,206334
24,TO APPROACH FIX,9308,9308,0.1307,286,-268.1,18,14,-69.4,0,206331
25,TO APPROACH FIX,9027,9027,0.1308,279,-262.5,18,13.9,-70.2,0,206316
27,TO APPROACH FIX,8751,8751,0.1316,273,-257.5,18,14.1,-70.5,0,206287
28,TO APPROACH FIX,8481,8481,0.1327,269,-253.3,18,13.5,-70.5,0,206248
29,TO APPROACH FIX,8214,8214,0.1344,265,-249.2,18,13.2,-70.1,0,206197
30,TO APPROACH FIX,7953,7953,0.1361,262,-244.6,18,13.2,-69.2,0,206135
31,TO APPROACH FIX,7696,7696,0.1376,258,-239.4,18,13.2,-68.1,0,206063
32,TO APPROACH FIX,7446,7446,0.1386,254,-233.4,18,12.9,-66.6,0,205981
33,TO APPROACH FIX,7202,7202,0.1393,251,-226.6,18,12.9,-64.8,0,205890
34,TO APPROACH FIX,6966,6966,0.1394,246,-219.1,18,13,-62.8,0,205790
35,TO APPROACH FIX,6738,6738,0.1389,242,-210.7,18,12.9,-60.6,0,205681
36,TO APPROACH FIX,6520,6520,0.1378,237,-201.3,18,13.1,-58.1,0,205565
37,TO APPROACH FIX,6312,6312,0.1359,232,-191.2,18,13.2,-55.5,0,205442
38,TO APPROACH FIX,6115,6115,0.1333,227,-180.2,18,13.3,-52.6,0,205313
39,TO APPROACH FIX,5931,5931,0.13,221,-168.5,18,13.4,-49.7,0,205178
40,TO APPROACH FIX,5759,5759,0.1261,215,-156.1,18,13.5,-46.6,0,205039
41,TO APPROACH FIX,5601,5601,0.1215,209,-143.1,18,13.6,-43.3,0,204896
42,TO APPROACH FIX,5456,5456,0.1163,202,-129.7,18,13.8,-39.9,0,204750
44,TO APPROACH FIX,5326,5326,0.1107,196,-116.2,18,14,-36.5,0.42,204604
45,TO APPROACH FIX,5211,5211,0.1061,190,-103.1,18,14.3,-32.9,0.98,204456
46,TO APPROACH FIX,5109,5109,0.1041,188,-90.5,18,14.8,-28.9,1,204306
47,TO APPROACH FIX,5020,5020,0.1043,187,-77.8,18,15.1,-24.7,1,204152
48,TO APPROACH FIX,4945,4945,0.1062,188,-64.8,18,15.3,-20.3,1,203993
49,TO APPROACH FIX,4884,4884,0.109,189,-51,18,15.5,-15.7,1,203829
50,TO APPROACH FIX,4838,4838,0.1124,192,-36.2,15.3,15.6,-11,0.99,203659
51,TO APPROACH FIX,4809,4809,0.116,195,-20.5,-2.5,15.6,-6.1,0.92,203484
52,TO APPROACH FIX,4796,4796,0.1192,197,-4,-12,15.6,-1.2,0.81,203305
53,TO APPROACH FIX,4802,4802,0.1214,199,13,-12,15.6,3.7,0.72,203124
54,TO APPROACH FIX,4825,4825,0.1219,199,29.9,-12,15.5,8.5,0.7,202943
55,TO APPROACH FIX,4866,4866,0.1207,199,46.4,-12,15.5,13.4,0.78,202766
56,TO APPROACH FIX,4924,4924,0.1183,198,62.3,-12,15.6,18.3,0.92,202594
57,TO APPROACH FIX,4999,4999,0.1156,196,77.8,-12,15.8,23.3,1,202429
58,TO APPROACH FIX,5090,5090,0.1127,195,92.8,-12,15.9,28.3,1,202273
59,TO APPROACH FIX,5196,5196,0.1096,194,107.1,-12,16.1,33.5,1,202126
60,TO APPROACH FIX,5317,5317,0.1063,192,120.3,-12,16.2,38.7,1,201992
62,TO APPROACH FIX,5452,5452,0.1026,190,132.2,-12,16.4,43.9,1,201870
63,TO APPROACH FIX,5598,5598,0.0988,189,142.6,-12,16.5,49.1,1,201763
64,TO APPROACH FIX,5754,5754,0.0949,187,151.4,-12,16,54.1,1,201672
65,TO APPROACH FIX,5918,5918,0.0935,188,158.5,-12,12.6,57.3,0.99,201595
66,TO APPROACH FIX,6088,6088,0.0968,194,163.5,-12,9.8,57.4,0.68,201523
67,TO APPROACH FIX,6261,6261,0.1009,200,162.2,-12,10.8,54.2,0.28,201446
68,TO APPROACH FIX,6426,6426,0.0982,199,149,-12,13.8,48.7,0.43,201352
69,TO APPROACH FIX,6572,6572,0.0908,193,126.8,-12,16.4,41.3,1,201239
70,TO APPROACH FIX,6692,6692,0.0851,189,102.7,-12,15.8,33.1,1,201106
71,TO APPROACH FIX,6787,6787,0.0829,188,78.7,-12,16.2,24.9,1,200955
72,TO APPROACH FIX,6856,6856,0.0828,189,52.3,-12,16.2,16.2,1,200786
