met,phase,alt,q,airspeed,vspeed,pitchAOH,throttle,thrust,LF,Ox,intakeAir,cmdpitch,aoa,fpa,vs_tgt,iterm,LF_rate,Ox_rate
8,TAKEOFF ROLL,71,0,1,0,0.2,1,428,2240,1760,3.97,0,1.5,0,0,0,0.25,0
10,TAKEOFF ROLL,71,0.0001,4,0,0.2,1,428,2239,1760,3.95,0,0.3,-0.1,0,0,0.71,0
11,TAKEOFF ROLL,71,0.0005,10,0,0.2,1,428,2238,1760,3.93,0,0.3,-0.1,0,0,1.05,0
12,TAKEOFF ROLL,71,0.0014,17,0,0.2,1,427,2236,1760,3.91,0,0.3,-0.1,0,0,1.33,0
13,TAKEOFF ROLL,71,0.0032,25,-0.1,0.2,1,425,2235,1760,3.9,0,0.3,-0.1,0,0,1.55,0
14,TAKEOFF ROLL,71,0.0061,34,-0.1,0.2,1,423,2233,1760,3.89,0,0.3,-0.1,0,0,1.72,0
15,TAKEOFF ROLL,71,0.0101,44,-0.1,0.2,1,420,2231,1760,3.89,0,0.3,-0.1,0,0,1.85,0
16,TAKEOFF ROLL,71,0.0154,54,-0.1,0.2,1,419,2229,1760,3.88,0,0.3,-0.1,0,0,1.96,0
17,TAKEOFF ROLL,71,0.0221,64,-0.1,0.2,1,418,2226,1760,3.88,0,0.3,-0.1,0,0,2.05,0
18,TAKEOFF ROLL,71,0.0303,75,-0.1,0.2,1,420,2224,1760,3.87,0,0.3,-0.1,0,0,2.12,0
19,ROTATE / BUILDING SPEED,71,0.039,85,-0.1,0.3,1,425,2222,1760,3.87,6.5,0.4,-0.1,0,0,2.2,0
20,ROTATE / BUILDING SPEED,71,0.0496,96,-0.1,0.3,1,432,2220,1760,3.86,7.4,0.4,-0.1,0,0,2.27,0
21,ROTATE / BUILDING SPEED,71,0.0615,107,0.1,1.5,1,441,2217,1760,3.85,8.3,1.5,0,0,0,2.36,0
23,ROTATE / BUILDING SPEED,72,0.0739,117,0.4,8.4,1,452,2215,1760,3.85,9.2,8.4,0.1,0,0,2.45,0
24,ROTATE / BUILDING SPEED,76,0.0843,124,6.5,12.9,1,462,2212,1760,3.84,10.5,10.2,2.6,0,0,2.53,0
25,AIR ASCENT (peak 132 m/s),88,0.0968,134,11.8,12.8,1,474,2209,1760,3.84,10.9,7.9,4.9,0,0,2.61,0
26,AIR ASCENT (peak 141 m/s),102,0.1094,142,15.1,12.6,1,487,2206,1760,3.83,10.3,6.6,6,0,0,2.71,0
27,AIR ASCENT (peak 153 m/s),123,0.1289,154,17.3,11.6,1,507,2202,1760,3.82,10.4,5.2,6.4,0,0,2.81,0
29,AIR ASCENT (peak 167 m/s),147,0.1521,168,18.6,10.9,1,532,2198,1760,3.81,10.4,4.6,6.4,0,0,2.95,0
30,AIR ASCENT (peak 181 m/s),172,0.1791,183,19.6,10.4,1,561,2194,1760,3.8,10.2,4.2,6.2,0,0,3.12,0
31,AIR ASCENT (peak 196 m/s),199,0.2101,198,20.9,10.1,1,595,2190,1760,3.79,10.1,4,6.1,0,0,3.3,0
33,AIR ASCENT (peak 213 m/s),227,0.2453,214,22.6,9.9,1,633,2185,1760,3.77,10,3.9,6,0,0,3.52,0
34,AIR ASCENT (peak 230 m/s),259,0.2851,232,24.7,9.9,1,675,2181,1760,3.76,10.1,3.8,6.1,0,0,3.75,0
35,AIR ASCENT (peak 248 m/s),293,0.3308,250,27.2,10,1,722,2175,1760,3.74,10.2,3.8,6.2,0,0,4.01,0
37,AIR ASCENT (peak 267 m/s),331,0.3813,269,30.2,10.2,1,773,2170,1760,3.73,10.4,3.8,6.4,0,0,4.3,0
38,AIR ASCENT (peak 287 m/s),373,0.4378,289,33.6,10.4,1,827,2164,1760,3.71,10.7,3.8,6.7,0,0,4.6,0
